Fecha,DViento,HAire10,O3,P,PLiquida,PM2.5,TMPR_AIR_10CM,VViento
2024-12-26,177.86984816,90.31415278,12.64472235,18.64516667,0.23416667,6.39307752,18.64516667,0.75688479
2024-12-27,164.82971875,90.32067361,13.3412121,17.94855556,0.04958333,9.80650833,17.94855556,0.60773559
2024-12-28,165.51242859,85.01133333,22.34162542,18.78014583,0.01041667,9.20452742,18.78014583,0.73965722
2024-12-29,160.93961605,83.78489583,22.09638255,19.10635417,0.00125,8.18051292,19.10635417,0.7428037
2024-12-30,160.62681475,91.65910417,9.75853366,17.55505556,0.10625,9.10533389,17.55505556,0.64427352
2024-12-31,160.90577105,83.32515972,20.67717273,18.35302083,0.0,7.60997304,18.35302083,0.86610766
2025-01-01,185.51160528,82.80785417,24.1891217,18.99198611,0.0,17.95833333,18.99198611,0.69763586
2025-01-02,135.5784847,84.19700695,18.98997287,18.99895139,0.01416667,10.48112917,18.99895139,0.58714349
2025-01-03,190.73859494,92.233375,11.88937432,17.71599306,0.18416667,11.53698133,17.71599306,0.69902819
2025-01-04,136.23761767,91.64858333,21.0340937,17.93438889,0.29708333,11.53673667,17.93438889,0.56302302
2025-01-05,179.3618732,88.23807751,22.43972257,18.32135917,0.09,6.91893958,18.32135917,0.74547951
2025-01-06,165.56318806,80.19730944,28.67706621,19.82527895,0.0,5.69980958,19.82527895,0.83615079
2025-01-07,164.51243752,87.10076389,25.08834556,18.76570833,0.18,8.88403083,18.76570833,1.05072836
2025-01-08,185.57984287,81.07093787,28.88961004,20.23895249,0.00083333,9.40261035,20.23895249,0.82684572
2025-01-09,160.24740002,84.27164583,25.382637,19.23374306,0.04791667,10.82655179,19.23374306,0.76854002
2025-01-10,160.09398006,78.83596025,14.7341916,19.7760819,0.0,12.46019042,19.7760819,0.74676585
2025-01-11,171.42620314,75.3536057,27.32005567,20.47836794,0.00041667,14.38094958,20.47836794,0.87841542
2025-01-12,145.815309,73.23236653,33.92526362,20.326865,0.0,9.91510625,20.326865,1.06103123
2025-01-13,152.20226031,70.95181825,37.77557668,19.72221049,0.0,11.09560875,19.72221049,1.13879179
2025-01-14,159.7688461,71.75332199,36.23872136,19.14716392,0.0,12.126475,19.14716392,1.22305751
2025-01-15,154.43973617,70.05819373,35.12695368,19.29603496,0.0,10.06256958,19.29603496,1.18608229
2025-01-16,159.95007002,73.24213889,44.02926985,19.59256944,0.00583333,12.87225708,19.59256944,0.81095919
2025-01-17,133.03993448,72.81208333,33.66367123,19.23875694,0.0,9.32669833,19.23875694,1.03475835
2025-01-18,168.18387061,68.84375,47.83053433,19.44711806,0.0,8.14355917,19.44711806,1.1132807
2025-01-19,143.12979057,75.37775695,40.26887918,19.01427778,0.0025,11.60277458,19.01427778,0.93960594
2025-01-20,151.54383292,72.17152778,38.67480053,18.83758333,0.0,11.75032667,18.83758333,1.20660306
2025-01-21,156.03901768,70.22351186,33.96123258,19.41108555,0.0,13.32967348,19.41108555,1.20156354
2025-01-22,170.57909564,69.34937626,49.767953,19.59038644,0.0,14.24431125,19.59038644,1.22049403
2025-01-23,138.19776759,67.70448359,46.52257236,19.69900063,0.0,14.58497708,19.69900063,1.12513097
2025-01-24,183.37698308,78.8836875,20.58405152,18.59173611,0.0,20.25312458,18.59173611,0.93398437
2025-01-25,157.33303171,76.38088889,27.59799759,19.81292361,0.01958333,13.70964958,19.81292361,0.91112051
2025-01-26,165.80757961,80.18451389,24.27904409,19.63066667,0.03291667,9.876515,19.63066667,0.93487621
2025-01-27,183.83936914,75.29535829,20.88651772,20.48913995,0.00083333,12.82322917,20.48913995,0.97798892
2025-01-28,160.33307102,73.37750328,27.29553138,20.81675577,0.0,12.02349941,20.81675577,1.01874235
2025-01-29,181.68147476,69.54526389,33.13231168,21.41505556,0.00583333,10.88915875,21.41505556,0.96622256
2025-01-30,161.89047228,73.5111456,35.72371133,21.00679002,0.17708333,9.86526458,21.00679002,0.96799183
2025-01-31,162.93119331,74.29930884,29.51906673,21.16446199,0.0,10.054387,21.16446199,0.81946797
2025-02-01,164.83921788,71.05900379,25.57065653,20.93283586,0.00041667,7.02307692,20.93283586,1.10908027
2025-02-02,144.73235478,74.06086879,33.41842836,20.51092325,0.00083333,13.034125,20.51092325,0.92300028
2025-02-03,178.8872741,78.74612112,24.6223841,20.01223682,0.00041667,13.40798579,20.01223682,0.77234029
2025-02-04,171.43639799,87.7664409,30.67170822,18.88594691,0.255,14.30905882,18.88594691,0.52796522
2025-02-05,180.49061994,90.96077505,12.00055108,18.04632581,0.12541667,21.737087,18.04632581,0.56014636
2025-02-06,176.85722606,81.0637061,9.88199689,19.43896657,0.01,17.88862083,19.43896657,0.83586542
2025-02-07,139.61910836,85.16190419,30.9578249,19.17098199,0.12458333,18.78286182,19.17098199,0.71656026
2025-02-08,172.8913728,87.81189583,38.08621764,18.69391667,0.16333333,17.87663779,18.69391667,0.58647192
2025-02-09,184.62438378,92.97278196,18.38504046,17.93859104,0.18913043,12.8861485,17.93859104,0.49867186
2025-02-10,145.89311974,89.13230195,20.12626483,18.43485046,0.235,17.84141545,18.43485046,0.7081551
2025-02-11,183.40850408,88.66589703,16.86453466,18.12054321,0.13583333,11.813704,18.12054321,0.55114091
2025-02-12,143.13835221,87.41991512,22.25170303,18.40035313,0.16625,10.55135792,18.40035313,0.63787638
2025-02-13,173.27118052,87.5909791,26.82139517,18.35981048,0.21083333,10.69369042,18.35981048,0.7246371
