Fecha,DViento,HAire10,NO,NO2,P,PLiquida,PM10,PM2.5,VViento
2019-09-27,,,52.30263882,42.62266633,,,,41.70833333,
2019-09-28,,,37.07166691,37.7382316,,,,29.95833333,
2019-09-29,,,22.56254649,17.91674485,,,,25.16666667,
2019-09-30,,,32.99062913,27.82748431,,,,23.70833333,
2019-10-01,201.45833333,82.60680303,30.00215221,27.14283841,19.36672917,0.1225,44.20487391,20.875,1.34125
2019-10-02,82.875,77.45342708,31.71600973,36.16311197,20.87469792,0.00833333,50.33227333,27.5,1.598125
2019-10-03,164.0,83.13088889,43.93843668,38.99832573,19.76494017,0.0,46.41785,25.04166667,1.15
2019-10-04,190.375,84.00004861,75.82784304,42.26834003,19.94402083,0.23958333,62.93783636,43.70833333,1.26125
2019-10-05,183.66666667,81.88321551,31.1044328,29.69992996,20.93803472,0.18875,30.80172273,25.75,1.96125
2019-10-06,186.83333333,81.11474306,34.51331137,23.50560125,21.84393056,0.01375,52.08105,27.70833333,2.17291667
2019-10-07,183.45833333,71.80472222,41.623233,35.55491305,22.4228125,0.02,42.38587083,26.75,1.29541667
2019-10-08,142.91666667,64.25159028,52.92406835,33.69606912,22.74550695,0.00125,48.2990875,30.58333333,1.58083333
2019-10-09,127.375,62.90114583,40.07164195,31.21198494,24.01404861,0.00166667,39.04039091,32.41666667,2.05041667
2019-10-10,225.59090909,80.97500075,52.20273101,43.47862172,20.25239624,0.0,65.40899167,42.54166667,1.55318182
2019-10-11,206.75,86.4116416,37.55695368,32.17532502,19.59300457,0.13875,40.85584545,33.13636364,1.1975
2019-10-12,203.66666667,80.76521449,44.80739757,34.66207312,21.01564583,0.02583333,56.11977917,34.25,1.45166667
2019-10-13,,,14.62705018,23.82481852,,,,23.5,
2019-10-14,,,28.25896172,24.70133012,,,,22.66666667,
2019-10-15,,,42.05973711,30.78500384,,,,28.83333333,
2019-10-16,,,39.87982077,30.54306952,,,,30.5,
2019-10-17,,,59.72919291,31.81082876,,,,39.75,
2019-10-18,,,39.37070169,42.41380632,,,,32.79166667,
2019-10-19,,,33.80438887,32.88949354,,,,27.83333333,
2019-10-20,,,21.7646337,18.31842645,,,,23.45833333,
2019-10-21,,,60.66621752,33.07549859,,,,36.375,
2019-10-22,,,48.36493907,29.82127985,,,,35.79166667,
2019-10-23,,,38.83133291,33.74466235,,,,22.16666667,
2019-10-24,,,36.90300749,38.55763322,,,,29.0,
2019-10-25,,,73.21852787,36.16116887,,,,47.91666667,
2019-10-26,,,39.55188128,32.24823837,,,,29.45833333,
2019-10-27,,,20.37130267,21.12339676,,,,20.0,
2019-10-28,,,42.13899654,27.01248771,,,,33.5,
2019-10-29,,,56.49443933,41.7202845,,,,34.25,
2019-10-30,,,46.10861083,45.2738965,,,,30.59090909,
2019-10-31,,,44.9782953,42.99802202,,,,31.16666667,
2019-11-01,166.33333333,75.83575694,42.94573055,46.05242245,20.27465278,0.04041667,40.83056522,33.66666667,1.40166667
2019-11-02,171.5,65.06547568,38.85115566,41.33894156,24.69152962,0.00208333,60.42807692,29.58333333,2.00083333
2019-11-03,221.66666667,79.49714603,25.50974774,31.92062972,21.29627893,0.06791667,49.9647,21.125,1.59166667
2019-11-04,175.875,78.12445833,26.32738106,32.19328305,21.57973611,0.01791667,53.33987917,24.0,1.36333333
2019-11-05,156.25,86.9766303,63.48374563,48.42955764,20.2609375,0.23708333,36.25198261,43.0,1.39083333
2019-11-06,230.20833333,79.05078472,51.66024184,40.94355938,22.22147222,0.01,59.12023478,35.41666667,1.9725
