Fecha,DViento,HAire10,O3,P,PLiquida,RGlobal,TAire10,TMPR_AIR_10CM,VViento
2021-03-19,187.91666667,79.36970139,14.85354313,20.33175,0.465,,,20.33175,1.15666667
2021-03-20,233.5,86.76025694,14.09329024,18.14527778,0.51666667,,,18.14527778,0.94875
2021-03-21,194.54166667,80.375375,23.78855835,19.85795139,0.1025,,,19.85795139,1.02875
2021-03-22,220.58333333,89.82977083,20.40420675,18.21172222,0.70125,,,18.21172222,0.92916667
2021-03-23,185.125,82.35486806,16.70921418,19.41627778,0.10416667,,,19.41627778,1.08208333
2021-03-24,202.91666667,86.46788194,22.6277421,18.8544375,0.41291667,,,18.8544375,1.03083333
2021-03-25,174.95833333,75.50738195,22.03098445,21.41870833,0.00125,,,21.41870833,1.14458333
2021-03-26,192.45833333,77.95143056,22.34980018,20.78931944,0.14208333,,,20.78931944,1.22833333
2021-03-27,185.41666667,76.96152083,24.385316,20.80075694,0.00583333,,,20.80075694,1.08208333
2021-03-28,226.29166667,79.00867361,20.57587676,20.92084028,0.0375,,,20.92084028,0.7975
2021-03-29,189.30434783,70.52430101,17.22050841,22.68156992,0.00208333,,,22.68156992,1.36086957
2021-03-30,194.54166667,66.22768056,18.98997287,22.96149306,0.01166667,,,22.96149306,1.41333333
2021-03-31,198.95652174,67.72103623,19.92189577,23.41863044,0.00043478,,,23.41863044,1.46826087
2021-04-01,191.69565217,77.98964493,17.80463233,21.58325362,0.01782609,,,21.58325362,0.88130435
2021-04-02,226.83333333,82.88615972,21.46692585,20.57784028,0.40791667,,,20.57784028,1.46416667
2021-04-03,218.25,79.38517361,21.72034348,20.66484722,0.03041667,,,20.66484722,0.89833333
2021-04-04,194.79166667,74.37240278,21.09088678,21.79736111,0.03625,,,21.79736111,1.11166667
2021-04-05,216.91666667,74.40336806,22.66044115,21.33533333,0.61458333,,,21.33533333,1.1175
2021-04-06,192.04166667,77.07078472,28.87326051,21.06146528,0.16125,,,21.06146528,1.05208333
2021-04-07,174.95833333,74.09375695,16.40674797,21.84649306,0.00541667,,,21.84649306,1.12666667
2021-04-08,184.04166667,72.29189583,25.36628748,22.5749375,0.0275,,,22.5749375,1.28458333
2021-04-09,165.45,82.14442112,25.73415178,20.23312769,0.11583333,,,20.23312769,1.02
2021-04-10,200.125,79.03435417,24.66325792,21.37976389,0.06625,,,21.37976389,1.11416667
2021-04-11,206.79166667,77.60297917,21.07453726,21.91972222,0.04916667,,,21.91972222,1.04166667
2021-04-12,184.125,69.68509028,15.67101937,22.58097917,0.00041667,,,22.58097917,1.10666667
2021-04-13,216.83333333,67.09511806,21.20533346,22.61159028,0.0,,,22.61159028,1.43125
2021-04-14,212.33333333,72.59884722,17.37954469,22.20615278,0.0,,,22.20615278,1.01458333
