Fecha,CO,DViento,HAire10,HAire2,O3,P,PLiquida,PM10,PM2.5,RGlobal,TAire10,TAire2,VViento
2012-12-20,,,,72.24166667,47.94868138,,0.02083333,55.41666667,,,,20.30416667,
2012-12-21,,,,72.17083333,40.32786884,,0.0,47.95833333,,,,20.1375,
2012-12-22,,,,72.37916667,47.01639342,,0.125,39.95833333,,,,20.2,
2012-12-23,,,,70.47083333,39.06200996,,0.0,35.625,,,,19.93333333,
2012-12-24,,,,72.5,32.69850319,,0.0,47.125,,,,18.68333333,
2012-12-25,,,,71.325,43.92017105,,0.0,58.95833333,,,,20.09583333,
2012-12-26,,,,71.96666667,39.90876691,,0.0,35.0,,,,20.04166667,
2012-12-27,,,,66.15833333,40.15680683,,0.0,35.39130435,,,,20.94583333,
2012-12-28,,,,60.92916667,47.74340697,,0.0,33.08333333,,,,20.825,
2012-12-29,,,,65.07916667,53.74768351,,0.0,36.375,,,,20.975,
2012-12-30,,,,66.41666667,42.85103348,,0.0,35.30434783,,,,19.7125,
2012-12-31,,,,63.62916667,43.150392,,0.0,37.91666667,,,,20.49583333,
2013-01-01,,,,61.05833333,43.1674982,,0.0,47.81818182,,238.89583333,,20.67083333,
2013-01-02,,,,59.17083333,51.04490376,,0.0,31.625,,113.0125,,21.0375,
2013-01-03,,,,63.46666667,47.11047753,,0.0,43.66666667,,,,20.9625,
2013-01-04,,,,64.2125,44.8866714,,0.0,42.7826087,,183.91145783,22.1417825,21.05,
2013-01-05,,,,61.025,41.50819671,,0.0,39.83333333,,157.87881854,18.76073542,21.55,
2013-01-06,,,,59.4875,46.79401281,,0.0,33.16666667,,209.44525629,18.97364083,21.025,
2013-01-07,,,,57.225,46.46899499,,0.0,31.66666667,,,18.15285958,21.025,
2013-01-08,,,,52.825,49.05203134,,0.0,30.2173913,,233.47056333,19.65887167,20.99583333,
2013-01-09,,,,53.33333333,43.40698502,,0.0,41.125,,230.1950375,20.32122,21.0,
2013-01-10,,,,55.79583333,45.72487525,,0.0,34.91666667,,177.45942238,18.54643524,21.65,
2013-01-11,,,,57.92083333,64.03706341,,0.0,43.95833333,,282.8965275,18.5597655,21.5375,
2013-01-12,,,,66.26666667,51.62950818,,0.33333333,51.20833333,,13.44,16.25167,20.325,
2013-01-13,,,,72.8625,39.6265146,,0.0,46.16666667,,,,18.95,
2013-01-14,,,,68.3625,49.34283676,,0.0,51.69565217,,,,20.17916667,
2013-01-15,,,,72.1375,46.5716322,,0.04166667,54.95833333,,,,19.38333333,
2013-01-16,,,,71.5375,47.50392015,,0.0,55.625,,,,19.7875,
2013-01-17,,,,67.8625,58.28937988,,0.0,54.2173913,,,,20.47083333,
2013-01-18,,,,67.08333333,55.2957947,,0.0,57.79166667,,,,20.49166667,
2013-01-19,,,,67.59583333,62.2066999,,0.0,52.41666667,,,,20.19583333,
2013-01-20,,,,71.22083333,46.36635779,,0.0,45.625,,,,19.775,
2013-01-21,,,,74.60833333,47.29864574,,0.10416667,59.29166667,,,,19.97083333,
2013-01-22,,,,75.325,47.60655736,,0.45833333,52.125,,,,19.82916667,
2013-01-23,,,,72.89166667,42.97077689,,0.0625,54.70833333,,,,20.17083333,
2013-01-24,,,,71.11666667,44.70705629,,0.0,55.41666667,,,,20.45833333,
2013-01-25,,,,71.3,39.7633642,,0.0,57.65217391,,,,19.39583333,
2013-01-26,,,,69.14166667,50.14682821,,0.0,58.79166667,,,,19.575,
2013-01-27,,,,65.67916667,46.09265857,,0.0,50.73913043,,,,21.45416667,
2013-01-28,,,,61.6375,45.09194581,,0.0,49.04166667,,,,21.97083333,
2013-01-29,,,,66.47916667,45.10905201,,0.04166667,53.83333333,,,,21.21666667,
2013-01-30,,,,65.575,51.24162507,,0.0,56.91304348,,,,21.77916667,
2013-01-31,,,,69.44166667,44.61297219,,0.02083333,61.75,,,,20.81666667,
2013-02-01,,,,71.09583333,38.23235922,,0.02083333,66.13043478,,237.75416667,,18.925,
2013-02-02,,,,86.925,20.18531717,,0.625,62.41666667,,62.82916667,,17.04166667,
2013-02-03,,,,78.50416667,36.69280113,,0.14583333,49.90909091,,,,18.1875,
2013-02-04,,,,73.68333333,45.07483961,,0.14583333,66.36363636,,137.91863504,20.30359417,19.00416667,
2013-02-05,,,,79.24583333,29.76478972,,0.3125,64.58333333,,138.57291304,18.53174167,18.53333333,
2013-02-06,,,,74.64583333,44.8182466,,0.0,69.2173913,,202.52661613,20.40220458,19.25416667,
2013-02-07,,,,69.34166667,68.59586598,,0.0,61.95652174,,,19.43593792,20.29583333,
2013-02-08,,,,79.89583333,34.12687098,,0.85416667,57.69565217,,235.5577,19.8139225,18.6875,
2013-02-09,,,,72.9375,53.02922307,,0.72916667,50.41666667,,241.81599583,20.35410333,19.4875,
2013-02-10,,,,81.17916667,40.88382037,,0.875,37.0952381,,202.69656368,17.94262789,17.55,
2013-02-11,,,,77.775,39.17320027,,0.14583333,52.125,,241.86546833,19.00310208,18.30416667,
2013-02-12,,,,74.0875,40.28510333,,0.29166667,51.75,,,,18.39583333,
