Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2013-02-20,,,57.07083333,12.0,8.16666667,,,,,,,,23.23458333,
2013-02-21,,,67.27083333,9.08333333,9.5,,,,,,,,22.2825,
2013-02-22,,,66.30416667,11.08333333,11.29166667,,,,,,,,22.64125,
2013-02-23,,,63.21666667,5.33333333,4.25,,,,,,,,23.75291667,
2013-02-24,,,72.88333333,3.5,3.83333333,,,,,,,,21.79291667,
2013-02-25,,,63.75416667,12.375,10.20833333,,,,,,,,23.06125,
2013-02-26,,,68.50416667,8.45833333,11.125,,,,,,,,23.05291667,
2013-02-27,,,64.05416667,11.20833333,7.54166667,,,,,,,,23.31,
2013-02-28,,,64.70833333,8.95833333,7.625,,,,,,,,23.09958333,
2013-03-01,,,,9.41666667,12.875,,,,,,,,,
2013-03-02,,,,11.20833333,5.83333333,,,,,,,,,
2013-03-03,,,,3.45833333,2.04166667,,,,,,,,,
2013-03-04,,,,8.45833333,8.875,13.63897638,,,,,,23.05401625,,
2013-03-05,,,,8.58333333,5.83333333,31.11113138,,,,,,21.14417042,,
2013-03-06,,,,7.25,9.41666667,17.5562802,,,,,,22.85959417,,
2013-03-07,,,,6.70833333,7.21052632,22.91360659,,,,,,21.20415417,,
2013-03-08,,,,4.66666667,6.16666667,18.90355073,,,,,,22.43249333,,
2013-03-09,,,,9.91666667,10.91666667,34.16001583,,,,,,19.9940725,,
2013-03-10,,,,5.33333333,2.5,39.96201917,,,,,,20.96905208,,
2013-03-11,,,,7.29166667,8.16666667,12.89270929,,,,,,20.81857625,,
2013-03-12,,,,5.95833333,7.45833333,,,,,,,,,
2013-03-13,,,,9.08333333,11.625,,,,,,,,,
2013-03-14,,,,21.95833333,15.0,,,,,,,,,
2013-03-15,,,,9.875,10.58333333,,,,,,,,,
2013-03-16,,,,8.375,4.79166667,,,,,,,,,
2013-03-17,,,,3.04166667,3.04166667,,,,,,,,,
2013-03-18,,,,19.20833333,16.70833333,,,,,,,,,
2013-03-19,,,,17.70833333,13.29166667,,,,,,,,,
2013-03-20,,,,19.95833333,15.45833333,,,,,,,,,
2013-03-21,,,,18.29166667,11.66666667,,,,,,,,,
