Fecha,DViento,HAire10,P,PLiquida,PM2.5,VViento
2019-12-25,103.70833333,87.07041204,14.97436111,0.00416667,7.52173913,2.76916667
2019-12-26,86.75,84.72839796,15.30395833,0.0175,4.72272727,3.40583333
2019-12-27,85.16666667,88.55631205,14.56127161,0.0,5.75909091,2.81291667
2019-12-28,77.95833333,83.4680191,14.70522222,0.00125,6.20434783,2.69541667
2019-12-29,82.54166667,90.61801871,14.52911805,0.01041667,9.23333333,2.42875
2019-12-30,140.91666667,97.03949858,14.29467361,0.01875,13.8125,2.17458333
2019-12-31,198.33333333,98.95395148,12.88402083,0.39291667,6.44090909,1.73
2020-01-01,110.0,96.71608014,13.68078566,0.11208333,11.86363636,1.75833333
2020-01-02,115.59090909,89.47591667,13.91072817,0.00125,7.2826087,2.84681818
2020-01-03,109.875,87.51913646,14.072375,0.0,13.30833333,2.50916667
2020-01-04,102.70833333,81.56004754,13.94879861,0.0,13.075,2.15958333
2020-01-05,71.125,84.78708625,12.93586111,0.0025,11.41666667,3.13291667
2020-01-06,102.25,88.83338376,12.8715625,0.00375,11.3875,2.47166667
2020-01-07,73.66666667,85.22805797,13.24717361,0.0,8.45833333,3.6275
2020-01-08,70.625,86.93743099,12.80536806,0.00333333,11.14166667,4.23541667
2020-01-09,82.70833333,82.073182,14.03676389,0.0,9.7375,3.73916667
2020-01-10,66.27272727,75.13946,13.57838636,0.00083333,10.99545455,4.26818182
2020-01-11,80.58333333,77.97780824,13.31238571,0.0,9.16086957,4.31458333
2020-01-12,83.45833333,76.30465,14.40276389,0.0,9.3125,3.93125
2020-01-13,79.04166667,77.86230072,14.35394444,0.0,10.03809524,4.47125
2020-01-14,75.41666667,74.17168716,14.54789341,0.0,9.47916667,3.89208333
2020-01-15,98.20833333,84.12422485,13.89733333,0.00166667,11.325,3.00583333
2020-01-16,72.83333333,79.87570674,14.05361111,0.0,9.26818182,4.89666667
2020-01-17,76.45833333,73.65984028,14.88846528,0.0,5.34782609,4.32208333
2020-01-18,83.79166667,70.9328125,15.2255625,0.0,5.54545455,4.24125
2020-01-19,83.54166667,78.12638194,15.05116667,0.0,5.02272727,3.355
2020-01-20,127.38888889,91.57301648,13.66618434,0.01125,13.065,1.84777778
