Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM2.5,SO2,VViento
2020-06-03,673.54039551,154.95833333,91.58279861,32.40903928,32.51402032,5.19914883,18.83088889,0.15291667,24.5,29.20854192,1.25916667
2020-06-04,713.9434019,106.79166667,74.34936806,36.58349794,29.84795363,25.23229246,22.64829861,0.00083333,16.56521739,27.26782072,1.83458333
2020-06-05,711.09302621,122.0,80.325375,7.90627782,18.9474432,22.88933449,22.58671528,0.07875,19.125,31.88171815,1.58791667
2020-06-06,726.31524266,127.58333333,86.74225694,19.69226504,24.88009555,18.89187572,20.79231945,0.08708333,21.91666667,28.47751005,1.38375
2020-06-07,576.79273809,95.66666667,75.25624306,10.64538675,15.28690448,22.03915921,22.79132639,0.00041667,14.66666667,34.893133,2.08
2020-06-08,580.3331742,80.58333333,74.49090278,20.29924784,22.61688258,23.29807261,23.50918056,0.00666667,13.43478261,30.88882412,2.01291667
2020-06-09,,169.75,82.42515972,,,19.88919672,20.93126389,0.17833333,21.70833333,41.78883658,1.04083333
2020-06-10,998.0096935,93.66666667,92.33493056,22.59800885,28.1870758,14.32218358,18.96113194,0.11375,17.04166667,18.03357418,1.31125
2020-06-11,783.83879479,128.08333333,80.90590972,18.69688624,21.98505303,,20.62918056,0.17833333,17.0,,1.24916667
2020-06-12,581.34137062,136.875,89.27272917,12.32375854,24.38672772,22.31710113,19.30245139,0.41833333,12.95833333,39.41025529,1.07125
2020-06-13,462.46016757,120.79166667,78.8906875,14.70046946,15.24262055,20.86199344,21.67945833,0.00125,13.66666667,19.41350842,1.93291667
2020-06-14,400.4330854,91.79166667,80.9394127,7.68548136,13.89485959,23.60871358,22.14786111,0.13666667,11.33333333,23.81755386,1.7575
2020-06-15,506.03943451,168.625,80.20915972,5.73362313,16.55745063,21.45875109,21.70699306,0.04875,12.125,9.71072182,1.72083333
2020-06-16,692.66446203,150.41666667,78.64177778,22.35143603,21.08152604,16.35236803,21.70288889,0.62125,18.33333333,24.6674156,1.90041667
2020-06-17,536.33370205,130.5,90.95619444,17.08984641,24.71522957,11.20759914,19.60891667,0.18708333,22.0,16.58460355,1.08458333
2020-06-18,454.56249861,102.29166667,78.4319375,13.93234445,19.19226628,16.4230975,21.87821528,0.01583333,12.125,16.10452292,1.36333333
2020-06-19,555.99531618,110.625,77.49895139,14.32006591,20.49459156,25.20279223,22.21029167,0.15333333,14.08333333,18.59221346,2.0
2020-06-20,394.58804138,153.45833333,83.39476978,13.03717808,20.15368676,28.04760952,21.22725,0.43291667,14.625,16.51913801,1.555
2020-06-21,359.7254907,122.58333333,77.80104861,8.12981441,16.59590526,34.57924461,21.33342361,0.045,8.5,20.78530906,1.8225
2020-06-22,385.77213168,123.41666667,80.86933333,8.21326004,15.86411562,31.9551459,21.46254167,0.06416667,10.0,17.9593799,1.60333333
2020-06-23,514.62968397,92.375,77.00489583,20.64874957,21.86045158,20.64711397,22.0805625,0.0425,15.45833333,24.82235071,1.48791667
2020-06-24,524.20932778,99.95833333,80.46859722,22.25275668,28.16971324,14.34670787,21.21125694,0.00041667,25.91666667,18.53269933,1.26208333
2020-06-25,432.82865985,140.20833333,74.7481875,20.48712722,25.22540844,22.52147019,22.00938889,0.0575,30.54166667,28.54297559,1.71708333
2020-06-26,391.41501904,139.875,81.48022917,14.59173819,25.7761792,20.19983769,21.48553472,0.09833333,24.66666667,22.15353885,1.48416667
2020-06-27,304.92570143,71.16666667,85.58570139,8.68160115,18.93758666,26.18376371,21.12329861,0.34916667,16.66666667,5.79006335,1.80041667
2020-06-28,230.52166997,91.0,87.13188194,7.12480785,17.34471271,28.0721338,19.95894444,0.29375,12.875,19.14503358,1.51291667
2020-06-29,229.92610243,113.04166667,78.29417361,5.86406794,14.01763546,26.20828799,21.91832639,0.00541667,12.29166667,18.91226721,1.70916667
2020-06-30,234.15540513,90.08333333,79.55425694,8.90936598,19.25144472,22.16995541,22.5795625,0.03375,14.95652174,25.73730958,2.20416667
2020-07-01,218.07454245,129.29166667,81.23115548,8.83163874,21.33614298,25.5788313,21.33502083,0.37708333,15.75,16.37729601,1.78083333
2020-07-02,300.56579078,104.04166667,82.61435417,13.00743119,25.83949457,20.41238151,21.471875,0.2725,16.66666667,19.08320501,1.56083333
2020-07-03,186.64601798,53.75,79.75309028,8.58725531,16.92457948,24.29539361,21.97447222,0.14541667,15.5,15.08980705,1.76375
2020-07-04,296.87558458,134.625,87.09804167,11.52146625,24.56788285,18.70385619,20.27547222,0.43875,16.45833333,20.89441829,1.34833333
2020-07-05,293.69989698,109.20833333,85.68677083,12.36097154,20.64182858,19.742051,19.58946528,0.08916667,17.41666667,27.79012188,1.58666667
2020-07-06,359.58543341,152.0,82.68156487,25.81170861,21.32332477,14.13451947,20.46629426,0.01791667,20.20833333,24.01494238,1.48125
2020-07-07,497.79454167,114.16666667,86.93720139,28.01852853,26.32801248,13.5374064,19.66250694,0.14458333,21.95833333,16.95557495,1.63791667
2020-07-08,530.99619723,160.125,85.44723611,15.60191635,33.40864665,24.74500554,20.20461111,0.26041667,19.79166667,10.1689806,1.26
2020-07-09,449.06456813,155.45833333,80.66633333,12.98897288,26.10399157,22.80758687,21.00060417,0.07958333,13.0,15.67899691,1.66541667
2020-07-10,418.4953438,62.0,80.5949375,13.26730897,23.10353574,21.52414919,21.81367361,0.05708333,17.375,22.56378957,2.00958333
